section,date,week,team_name,abbr_team_name,home-away,result,score,start-time,gym,place,address
1,2018/10/4,木,千葉ジェッツ,千葉,HOME,LOSE,72,19:05,船橋アリーナ,船橋市,千葉県船橋市習志野台７丁目５−１
1,2018/10/6,土,秋田ノーザンハピネッツ,秋田,HOME,LOSE,67,14:05,ＣＮＡアリーナ★あきた,秋田市,秋田県秋田市八橋本町六丁目12番20号
1,2018/10/6,土,三遠ネオフェニックス,三遠,HOME,WIN,77,14:05,豊橋市総合体育館,豊橋市,愛知県豊橋市神野新田町メノ割１−３
1,2018/10/6,土,滋賀レイクスターズ,滋賀,HOME,LOSE,73,14:05,ウカルちゃんアリーナ,大津市,滋賀県大津市におの浜４丁目２−１２
1,2018/10/6,土,レバンガ北海道,北海道,HOME,LOSE,68,15:05,北海きたえーる,札幌市,北海道札幌市豊平区豊平５条１１丁目１−１
1,2018/10/6,土,千葉ジェッツ,千葉,HOME,LOSE,66,15:05,船橋アリーナ,船橋市,千葉県船橋市習志野台７丁目５−１
1,2018/10/6,土,アルバルク東京,東京,HOME,WIN,73,15:05,アリーナ立川立飛,東京都,東京都立川市泉町５００−４
1,2018/10/6,土,名古屋ダイヤモンドドルフィンズ,名古屋,HOME,WIN,80,16:05,ドルフィンズアリーナ,名古屋市,愛知県名古屋市中区二の丸１−１
1,2018/10/6,土,富山グラウジーズ,富山,HOME,WIN,94,18:05,富山市総合体育館,富山市,富山県富山市湊入船町１２−１
1,2018/10/6,土,ライジングゼファー福岡,福岡,HOME,LOSE,67,18:05,福岡市民体育館,福岡市,福岡県福岡市博多区東公園８−２
1,2018/10/7,日,富山グラウジーズ,富山,HOME,WIN,101,13:05,富山市総合体育館,富山市,富山県富山市湊入船町１２−１
1,2018/10/7,日,レバンガ北海道,北海道,HOME,WIN,70,14:05,北海きたえーる,札幌市,北海道札幌市豊平区豊平５条１１丁目１−１
1,2018/10/7,日,秋田ノーザンハピネッツ,秋田,HOME,LOSE,66,14:05,ＣＮＡアリーナ★あきた,秋田市,秋田県秋田市八橋本町六丁目12番20号
1,2018/10/7,日,三遠ネオフェニックス,三遠,HOME,LOSE,88,14:05,豊橋市総合体育館,豊橋市,愛知県豊橋市神野新田町メノ割１−３
1,2018/10/7,日,滋賀レイクスターズ,滋賀,HOME,WIN,75,14:05,ウカルちゃんアリーナ,大津市,滋賀県大津市におの浜４丁目２−１２
1,2018/10/7,日,ライジングゼファー福岡,福岡,HOME,LOSE,73,14:05,福岡市民体育館,福岡市,福岡県福岡市博多区東公園８−２
1,2018/10/7,日,アルバルク東京,東京,HOME,WIN,87,15:05,アリーナ立川立飛,東京都,東京都立川市泉町５００−４
1,2018/10/7,日,名古屋ダイヤモンドドルフィンズ,名古屋,HOME,WIN,96,15:05,ドルフィンズアリーナ,名古屋市,愛知県名古屋市中区二の丸１−１
2,2018/10/11,木,新潟アルビレックスBB,新潟,HOME,WIN,84,19:05,新潟市東総合スポーツセンター,新潟市,新潟県新潟市東区はなみずき３丁目４−１
2,2018/10/12,金,栃木ブレックス,栃木,HOME,WIN,104,19:05,ブレックスアリーナ宇都宮,宇都宮市,栃木県宇都宮市元今泉５−６−１８
2,2018/10/12,金,川崎ブレイブサンダース,川崎,HOME,WIN,76,19:05,川崎市とどろきアリーナ,川崎市,神奈川県川崎市中原区等々力１−３
2,2018/10/12,金,新潟アルビレックスBB,新潟,HOME,WIN,104,19:05,新潟市東総合スポーツセンター,新潟市,新潟県新潟市東区はなみずき３丁目４−１
2,2018/10/12,金,京都ハンナリーズ,京都,HOME,WIN,84,19:05,ハンナリーズアリーナ,京都市,京都府京都市右京区西京極新明町
2,2018/10/12,金,大阪エヴェッサ,大阪,HOME,WIN,73,19:05,サンエイワーク住吉スポーツセンター,大阪市,大阪府大阪市住吉区浅香１丁目８−１５
2,2018/10/12,金,琉球ゴールデンキングス,琉球,HOME,WIN,88,19:35,沖縄市体育館,沖縄市,沖縄県沖縄市諸見里２丁目１−１コザ運動公園内
2,2018/10/13,土,シーホース三河,三河,HOME,LOSE,69,14:05,ウィングアリーナ刈谷,刈谷市,愛知県刈谷市築地町荒田1
2,2018/10/13,土,京都ハンナリーズ,京都,HOME,WIN,87,14:05,ハンナリーズアリーナ,京都市,京都府京都市右京区西京極新明町
2,2018/10/13,土,大阪エヴェッサ,大阪,HOME,WIN,89,14:05,サンエイワーク住吉スポーツセンター,大阪市,大阪府大阪市住吉区浅香１丁目８−１５
2,2018/10/13,土,琉球ゴールデンキングス,琉球,HOME,WIN,79,15:25,沖縄市体育館,沖縄市,沖縄県沖縄市諸見里２丁目１−１コザ運動公園内
2,2018/10/13,土,川崎ブレイブサンダース,川崎,HOME,LOSE,68,16:05,川崎市とどろきアリーナ,川崎市,神奈川県川崎市中原区等々力１−３
2,2018/10/13,土,千葉ジェッツ,千葉,HOME,WIN,70,17:05,船橋アリーナ,船橋市,千葉県船橋市習志野台７丁目５−１
2,2018/10/13,土,栃木ブレックス,栃木,HOME,WIN,85,18:05,ブレックスアリーナ宇都宮,宇都宮市,栃木県宇都宮市元今泉５−６−１８
2,2018/10/13,土,サンロッカーズ渋谷,渋谷,HOME,WIN,67,18:05,青山学院記念館,東京都,東京都渋谷区渋谷４丁目４−２５
2,2018/10/14,日,サンロッカーズ渋谷,渋谷,HOME,LOSE,57,14:05,青山学院記念館,東京都,東京都渋谷区渋谷４丁目４−２５
2,2018/10/14,日,シーホース三河,三河,HOME,LOSE,55,14:05,ウィングアリーナ刈谷,刈谷市,愛知県刈谷市築地町荒田1
2,2018/10/14,日,千葉ジェッツ,千葉,HOME,WIN,73,16:05,船橋アリーナ,船橋市,千葉県船橋市習志野台７丁目５−１
3,2018/10/17,水,レバンガ北海道,北海道,HOME,LOSE,63,19:05,北海きたえーる,札幌市,北海道札幌市豊平区豊平５条１１丁目１−１
3,2018/10/17,水,アルバルク東京,東京,HOME,LOSE,74,19:05,アリーナ立川立飛,東京都,東京都立川市泉町５００−４
3,2018/10/17,水,サンロッカーズ渋谷,渋谷,HOME,LOSE,58,19:05,墨田区総合体育館,東京都,東京都墨田区錦糸４丁目１５−１
3,2018/10/17,水,川崎ブレイブサンダース,川崎,HOME,WIN,69,19:05,川崎市とどろきアリーナ,川崎市,神奈川県川崎市中原区等々力１−３
3,2018/10/17,水,横浜ビー・コルセアーズ,横浜,HOME,LOSE,84,19:05,横浜文化体育館,横浜市,神奈川県横浜市中区不老町２丁目７
3,2018/10/17,水,新潟アルビレックスBB,新潟,HOME,WIN,61,19:05,シティホールプラザアオーレ長岡,長岡市,新潟県長岡市大手通１丁目４−１０
3,2018/10/17,水,名古屋ダイヤモンドドルフィンズ,名古屋,HOME,WIN,89,19:05,ドルフィンズアリーナ,名古屋市,愛知県名古屋市中区二の丸１−１
3,2018/10/17,水,滋賀レイクスターズ,滋賀,HOME,LOSE,60,19:05,ウカルちゃんアリーナ,大津市,滋賀県大津市におの浜４丁目２−１２
3,2018/10/17,水,京都ハンナリーズ,京都,HOME,WIN,94,19:05,向日市民体育館,向日市,京都府向日市森本町小柳２３−１
4,2018/10/20,土,秋田ノーザンハピネッツ,秋田,HOME,WIN,72,14:05,ＣＮＡアリーナ★あきた,秋田市,秋田県秋田市八橋本町六丁目12番20号
4,2018/10/20,土,三遠ネオフェニックス,三遠,HOME,LOSE,63,14:05,豊橋市総合体育館,豊橋市,愛知県豊橋市神野新田町メノ割１−３
4,2018/10/20,土,栃木ブレックス,栃木,HOME,LOSE,70,15:05,栃木県立県南体育館,小山市,栃木県小山市外城３７１−１
4,2018/10/20,土,アルバルク東京,東京,HOME,WIN,89,15:05,アリーナ立川立飛,東京都,東京都立川市泉町５００−４
4,2018/10/20,土,シーホース三河,三河,HOME,WIN,74,15:05,岡崎中央総合公園総合体育館,岡崎市,愛知県岡崎市高隆寺町字峠1番地
4,2018/10/20,土,千葉ジェッツ,千葉,HOME,WIN,98,17:05,船橋アリーナ,船橋市,千葉県船橋市習志野台７丁目５−１
4,2018/10/20,土,横浜ビー・コルセアーズ,横浜,HOME,WIN,80,18:05,横浜国際プール,横浜市,神奈川県横浜市都筑区北山田７−３−１
4,2018/10/20,土,富山グラウジーズ,富山,HOME,WIN,90,18:05,富山市総合体育館,富山市,富山県富山市湊入船町１２−１
4,2018/10/20,土,大阪エヴェッサ,大阪,HOME,LOSE,63,18:05,おおきにアリーナ舞洲,大阪市,大阪府大阪市此花区北港緑地２丁目２−１５
4,2018/10/21,日,富山グラウジーズ,富山,HOME,WIN,95,13:05,富山市総合体育館,富山市,富山県富山市湊入船町１２−１
4,2018/10/21,日,秋田ノーザンハピネッツ,秋田,HOME,WIN,73,14:05,ＣＮＡアリーナ★あきた,秋田市,秋田県秋田市八橋本町六丁目12番20号
4,2018/10/21,日,横浜ビー・コルセアーズ,横浜,HOME,WIN,72,14:05,横浜国際プール,横浜市,神奈川県横浜市都筑区北山田７−３−１
4,2018/10/21,日,三遠ネオフェニックス,三遠,HOME,LOSE,60,14:05,豊橋市総合体育館,豊橋市,愛知県豊橋市神野新田町メノ割１−３
4,2018/10/21,日,大阪エヴェッサ,大阪,HOME,LOSE,70,14:05,おおきにアリーナ舞洲,大阪市,大阪府大阪市此花区北港緑地２丁目２−１５
4,2018/10/21,日,栃木ブレックス,栃木,HOME,WIN,79,15:05,栃木県立県南体育館,小山市,栃木県小山市外城３７１−１
4,2018/10/21,日,千葉ジェッツ,千葉,HOME,WIN,94,15:05,船橋アリーナ,船橋市,千葉県船橋市習志野台７丁目５−１
4,2018/10/21,日,アルバルク東京,東京,HOME,WIN,66,15:05,アリーナ立川立飛,東京都,東京都立川市泉町５００−４
4,2018/10/21,日,シーホース三河,三河,HOME,WIN,76,15:05,岡崎中央総合公園総合体育館,岡崎市,愛知県岡崎市高隆寺町字峠1番地
5,2018/10/24,水,秋田ノーザンハピネッツ,秋田,HOME,LOSE,74,19:05,ＣＮＡアリーナ★あきた,秋田市,秋田県秋田市八橋本町六丁目12番20号
5,2018/10/24,水,千葉ジェッツ,千葉,HOME,WIN,110,19:05,船橋アリーナ,船橋市,千葉県船橋市習志野台７丁目５−１
5,2018/10/24,水,サンロッカーズ渋谷,渋谷,HOME,LOSE,61,19:05,墨田区総合体育館,東京都,東京都墨田区錦糸４丁目１５−１
5,2018/10/24,水,川崎ブレイブサンダース,川崎,HOME,LOSE,56,19:05,川崎市とどろきアリーナ,川崎市,神奈川県川崎市中原区等々力１−３
5,2018/10/24,水,横浜ビー・コルセアーズ,横浜,HOME,LOSE,72,19:05,横浜国際プール,横浜市,神奈川県横浜市都筑区北山田７−３−１
5,2018/10/24,水,シーホース三河,三河,HOME,WIN,94,19:05,ウィングアリーナ刈谷,刈谷市,愛知県刈谷市築地町荒田1
5,2018/10/24,水,滋賀レイクスターズ,滋賀,HOME,LOSE,77,19:05,ウカルちゃんアリーナ,大津市,滋賀県大津市におの浜４丁目２−１２
5,2018/10/24,水,ライジングゼファー福岡,福岡,HOME,LOSE,72,19:05,北九州市総合体育館,北九州市,福岡県北九州市八幡東区八王寺町４−１
5,2018/10/24,水,琉球ゴールデンキングス,琉球,HOME,WIN,81,20:05,沖縄市体育館,沖縄市,沖縄県沖縄市諸見里２丁目１−１コザ運動公園内
6,2018/10/26,金,琉球ゴールデンキングス,琉球,HOME,WIN,68,20:05,沖縄市体育館,沖縄市,沖縄県沖縄市諸見里２丁目１−１コザ運動公園内
6,2018/10/27,土,琉球ゴールデンキングス,琉球,HOME,LOSE,72,15:25,沖縄市体育館,沖縄市,沖縄県沖縄市諸見里２丁目１−１コザ運動公園内
6,2018/10/27,土,名古屋ダイヤモンドドルフィンズ,名古屋,HOME,WIN,90,16:05,ドルフィンズアリーナ,名古屋市,愛知県名古屋市中区二の丸１−１
6,2018/10/27,土,サンロッカーズ渋谷,渋谷,HOME,LOSE,79,18:05,青山学院記念館,東京都,東京都渋谷区渋谷４丁目４−２５
6,2018/10/27,土,新潟アルビレックスBB,新潟,HOME,WIN,77,18:05,リージョンプラザ上越,上越市,新潟県上越市下門前４４６−２
6,2018/10/27,土,富山グラウジーズ,富山,HOME,WIN,90,18:05,富山県総合体育センター,富山市,富山県富山市秋ケ島１８３
6,2018/10/27,土,京都ハンナリーズ,京都,HOME,LOSE,67,18:05,ハンナリーズアリーナ,京都市,京都府京都市右京区西京極新明町
6,2018/10/27,土,大阪エヴェッサ,大阪,HOME,LOSE,69,18:05,おおきにアリーナ舞洲,大阪市,大阪府大阪市此花区北港緑地２丁目２−１５
6,2018/10/28,日,富山グラウジーズ,富山,HOME,WIN,98,13:05,富山県総合体育センター,富山市,富山県富山市秋ケ島１８３
6,2018/10/28,日,サンロッカーズ渋谷,渋谷,HOME,WIN,77,14:05,青山学院記念館,東京都,東京都渋谷区渋谷４丁目４−２５
6,2018/10/28,日,新潟アルビレックスBB,新潟,HOME,LOSE,72,14:05,リージョンプラザ上越,上越市,新潟県上越市下門前４４６−２
6,2018/10/28,日,京都ハンナリーズ,京都,HOME,WIN,79,14:05,ハンナリーズアリーナ,京都市,京都府京都市右京区西京極新明町
6,2018/10/28,日,大阪エヴェッサ,大阪,HOME,LOSE,63,14:05,おおきにアリーナ舞洲,大阪市,大阪府大阪市此花区北港緑地２丁目２−１５
6,2018/10/28,日,レバンガ北海道,北海道,HOME,LOSE,72,15:05,北海きたえーる,札幌市,北海道札幌市豊平区豊平５条１１丁目１−１
6,2018/10/28,日,名古屋ダイヤモンドドルフィンズ,名古屋,HOME,WIN,91,15:05,ドルフィンズアリーナ,名古屋市,愛知県名古屋市中区二の丸１−１
6,2018/10/29,月,レバンガ北海道,北海道,HOME,LOSE,60,19:05,北海きたえーる,札幌市,北海道札幌市豊平区豊平５条１１丁目１−１
6,2018/10/29,月,滋賀レイクスターズ,滋賀,HOME,LOSE,56,19:05,ウカルちゃんアリーナ,大津市,滋賀県大津市におの浜４丁目２−１２
