section,date,week,team_name,abbr_team_name,home-away,result,score,start-time,gym,place,address
6,2018/10/30,火,滋賀レイクスターズ,滋賀,HOME,LOSE,75,19:05,ウカルちゃんアリーナ,大津市,滋賀県大津市におの浜４丁目２−１２
1,2018/10/4,木,川崎ブレイブサンダース,川崎,AWAY,WIN,81,19:05,船橋アリーナ,船橋市,千葉県船橋市習志野台７丁目５−１
1,2018/10/6,土,琉球ゴールデンキングス,琉球,AWAY,WIN,84,14:05,ＣＮＡアリーナ★あきた,秋田市,秋田県秋田市八橋本町六丁目12番20号
1,2018/10/6,土,京都ハンナリーズ,京都,AWAY,LOSE,64,14:05,豊橋市総合体育館,豊橋市,愛知県豊橋市神野新田町メノ割１−３
1,2018/10/6,土,新潟アルビレックスBB,新潟,AWAY,WIN,78,14:05,ウカルちゃんアリーナ,大津市,滋賀県大津市におの浜４丁目２−１２
1,2018/10/6,土,大阪エヴェッサ,大阪,AWAY,WIN,74,15:05,北海きたえーる,札幌市,北海道札幌市豊平区豊平５条１１丁目１−１
1,2018/10/6,土,川崎ブレイブサンダース,川崎,AWAY,WIN,68,15:05,船橋アリーナ,船橋市,千葉県船橋市習志野台７丁目５−１
1,2018/10/6,土,サンロッカーズ渋谷,渋谷,AWAY,LOSE,71,15:05,アリーナ立川立飛,東京都,東京都立川市泉町５００−４
1,2018/10/6,土,シーホース三河,三河,AWAY,LOSE,75,16:05,ドルフィンズアリーナ,名古屋市,愛知県名古屋市中区二の丸１−１
1,2018/10/6,土,横浜ビー・コルセアーズ,横浜,AWAY,LOSE,82,18:05,富山市総合体育館,富山市,富山県富山市湊入船町１２−１
1,2018/10/6,土,栃木ブレックス,栃木,AWAY,WIN,79,18:05,福岡市民体育館,福岡市,福岡県福岡市博多区東公園８−２
1,2018/10/7,日,横浜ビー・コルセアーズ,横浜,AWAY,LOSE,77,13:05,富山市総合体育館,富山市,富山県富山市湊入船町１２−１
1,2018/10/7,日,大阪エヴェッサ,大阪,AWAY,LOSE,53,14:05,北海きたえーる,札幌市,北海道札幌市豊平区豊平５条１１丁目１−１
1,2018/10/7,日,琉球ゴールデンキングス,琉球,AWAY,WIN,71,14:05,ＣＮＡアリーナ★あきた,秋田市,秋田県秋田市八橋本町六丁目12番20号
1,2018/10/7,日,京都ハンナリーズ,京都,AWAY,WIN,93,14:05,豊橋市総合体育館,豊橋市,愛知県豊橋市神野新田町メノ割１−３
1,2018/10/7,日,新潟アルビレックスBB,新潟,AWAY,LOSE,71,14:05,ウカルちゃんアリーナ,大津市,滋賀県大津市におの浜４丁目２−１２
1,2018/10/7,日,栃木ブレックス,栃木,AWAY,WIN,82,14:05,福岡市民体育館,福岡市,福岡県福岡市博多区東公園８−２
1,2018/10/7,日,サンロッカーズ渋谷,渋谷,AWAY,LOSE,79,15:05,アリーナ立川立飛,東京都,東京都立川市泉町５００−４
1,2018/10/7,日,シーホース三河,三河,AWAY,LOSE,93,15:05,ドルフィンズアリーナ,名古屋市,愛知県名古屋市中区二の丸１−１
2,2018/10/11,木,秋田ノーザンハピネッツ,秋田,AWAY,LOSE,74,19:05,新潟市東総合スポーツセンター,新潟市,新潟県新潟市東区はなみずき３丁目４−１
2,2018/10/12,金,富山グラウジーズ,富山,AWAY,LOSE,84,19:05,ブレックスアリーナ宇都宮,宇都宮市,栃木県宇都宮市元今泉５−６−１８
2,2018/10/12,金,滋賀レイクスターズ,滋賀,AWAY,LOSE,64,19:05,川崎市とどろきアリーナ,川崎市,神奈川県川崎市中原区等々力１−３
2,2018/10/12,金,秋田ノーザンハピネッツ,秋田,AWAY,LOSE,92,19:05,新潟市東総合スポーツセンター,新潟市,新潟県新潟市東区はなみずき３丁目４−１
2,2018/10/12,金,横浜ビー・コルセアーズ,横浜,AWAY,LOSE,80,19:05,ハンナリーズアリーナ,京都市,京都府京都市右京区西京極新明町
2,2018/10/12,金,ライジングゼファー福岡,福岡,AWAY,LOSE,56,19:05,サンエイワーク住吉スポーツセンター,大阪市,大阪府大阪市住吉区浅香１丁目８−１５
2,2018/10/12,金,名古屋ダイヤモンドドルフィンズ,名古屋,AWAY,LOSE,87,19:35,沖縄市体育館,沖縄市,沖縄県沖縄市諸見里２丁目１−１コザ運動公園内
2,2018/10/13,土,アルバルク東京,東京,AWAY,WIN,77,14:05,ウィングアリーナ刈谷,刈谷市,愛知県刈谷市築地町荒田1
2,2018/10/13,土,横浜ビー・コルセアーズ,横浜,AWAY,LOSE,81,14:05,ハンナリーズアリーナ,京都市,京都府京都市右京区西京極新明町
2,2018/10/13,土,ライジングゼファー福岡,福岡,AWAY,LOSE,65,14:05,サンエイワーク住吉スポーツセンター,大阪市,大阪府大阪市住吉区浅香１丁目８−１５
2,2018/10/13,土,名古屋ダイヤモンドドルフィンズ,名古屋,AWAY,LOSE,68,15:25,沖縄市体育館,沖縄市,沖縄県沖縄市諸見里２丁目１−１コザ運動公園内
2,2018/10/13,土,滋賀レイクスターズ,滋賀,AWAY,WIN,80,16:05,川崎市とどろきアリーナ,川崎市,神奈川県川崎市中原区等々力１−３
2,2018/10/13,土,三遠ネオフェニックス,三遠,AWAY,LOSE,60,17:05,船橋アリーナ,船橋市,千葉県船橋市習志野台７丁目５−１
2,2018/10/13,土,富山グラウジーズ,富山,AWAY,LOSE,80,18:05,ブレックスアリーナ宇都宮,宇都宮市,栃木県宇都宮市元今泉５−６−１８
2,2018/10/13,土,レバンガ北海道,北海道,AWAY,LOSE,66,18:05,青山学院記念館,東京都,東京都渋谷区渋谷４丁目４−２５
2,2018/10/14,日,レバンガ北海道,北海道,AWAY,WIN,76,14:05,青山学院記念館,東京都,東京都渋谷区渋谷４丁目４−２５
2,2018/10/14,日,アルバルク東京,東京,AWAY,WIN,65,14:05,ウィングアリーナ刈谷,刈谷市,愛知県刈谷市築地町荒田1
2,2018/10/14,日,三遠ネオフェニックス,三遠,AWAY,LOSE,56,16:05,船橋アリーナ,船橋市,千葉県船橋市習志野台７丁目５−１
3,2018/10/17,水,千葉ジェッツ,千葉,AWAY,WIN,93,19:05,北海きたえーる,札幌市,北海道札幌市豊平区豊平５条１１丁目１−１
3,2018/10/17,水,栃木ブレックス,栃木,AWAY,WIN,79,19:05,アリーナ立川立飛,東京都,東京都立川市泉町５００−４
3,2018/10/17,水,秋田ノーザンハピネッツ,秋田,AWAY,WIN,63,19:05,墨田区総合体育館,東京都,東京都墨田区錦糸４丁目１５−１
3,2018/10/17,水,シーホース三河,三河,AWAY,LOSE,60,19:05,川崎市とどろきアリーナ,川崎市,神奈川県川崎市中原区等々力１−３
3,2018/10/17,水,富山グラウジーズ,富山,AWAY,WIN,88,19:05,横浜文化体育館,横浜市,神奈川県横浜市中区不老町２丁目７
3,2018/10/17,水,三遠ネオフェニックス,三遠,AWAY,LOSE,48,19:05,シティホールプラザアオーレ長岡,長岡市,新潟県長岡市大手通１丁目４−１０
3,2018/10/17,水,ライジングゼファー福岡,福岡,AWAY,LOSE,76,19:05,ドルフィンズアリーナ,名古屋市,愛知県名古屋市中区二の丸１−１
3,2018/10/17,水,大阪エヴェッサ,大阪,AWAY,WIN,64,19:05,ウカルちゃんアリーナ,大津市,滋賀県大津市におの浜４丁目２−１２
3,2018/10/17,水,琉球ゴールデンキングス,琉球,AWAY,LOSE,89,19:05,向日市民体育館,向日市,京都府向日市森本町小柳２３−１
4,2018/10/20,土,ライジングゼファー福岡,福岡,AWAY,LOSE,71,14:05,ＣＮＡアリーナ★あきた,秋田市,秋田県秋田市八橋本町六丁目12番20号
4,2018/10/20,土,琉球ゴールデンキングス,琉球,AWAY,WIN,96,14:05,豊橋市総合体育館,豊橋市,愛知県豊橋市神野新田町メノ割１−３
4,2018/10/20,土,レバンガ北海道,北海道,AWAY,WIN,72,15:05,栃木県立県南体育館,小山市,栃木県小山市外城３７１−１
4,2018/10/20,土,川崎ブレイブサンダース,川崎,AWAY,LOSE,67,15:05,アリーナ立川立飛,東京都,東京都立川市泉町５００−４
4,2018/10/20,土,サンロッカーズ渋谷,渋谷,AWAY,LOSE,64,15:05,岡崎中央総合公園総合体育館,岡崎市,愛知県岡崎市高隆寺町字峠1番地
4,2018/10/20,土,新潟アルビレックスBB,新潟,AWAY,LOSE,90,17:05,船橋アリーナ,船橋市,千葉県船橋市習志野台７丁目５−１
4,2018/10/20,土,滋賀レイクスターズ,滋賀,AWAY,LOSE,76,18:05,横浜国際プール,横浜市,神奈川県横浜市都筑区北山田７−３−１
4,2018/10/20,土,京都ハンナリーズ,京都,AWAY,LOSE,71,18:05,富山市総合体育館,富山市,富山県富山市湊入船町１２−１
4,2018/10/20,土,名古屋ダイヤモンドドルフィンズ,名古屋,AWAY,WIN,76,18:05,おおきにアリーナ舞洲,大阪市,大阪府大阪市此花区北港緑地２丁目２−１５
4,2018/10/21,日,京都ハンナリーズ,京都,AWAY,LOSE,64,13:05,富山市総合体育館,富山市,富山県富山市湊入船町１２−１
4,2018/10/21,日,ライジングゼファー福岡,福岡,AWAY,LOSE,53,14:05,ＣＮＡアリーナ★あきた,秋田市,秋田県秋田市八橋本町六丁目12番20号
4,2018/10/21,日,滋賀レイクスターズ,滋賀,AWAY,LOSE,70,14:05,横浜国際プール,横浜市,神奈川県横浜市都筑区北山田７−３−１
4,2018/10/21,日,琉球ゴールデンキングス,琉球,AWAY,WIN,91,14:05,豊橋市総合体育館,豊橋市,愛知県豊橋市神野新田町メノ割１−３
4,2018/10/21,日,名古屋ダイヤモンドドルフィンズ,名古屋,AWAY,WIN,80,14:05,おおきにアリーナ舞洲,大阪市,大阪府大阪市此花区北港緑地２丁目２−１５
4,2018/10/21,日,レバンガ北海道,北海道,AWAY,LOSE,70,15:05,栃木県立県南体育館,小山市,栃木県小山市外城３７１−１
4,2018/10/21,日,新潟アルビレックスBB,新潟,AWAY,LOSE,87,15:05,船橋アリーナ,船橋市,千葉県船橋市習志野台７丁目５−１
4,2018/10/21,日,川崎ブレイブサンダース,川崎,AWAY,LOSE,46,15:05,アリーナ立川立飛,東京都,東京都立川市泉町５００−４
4,2018/10/21,日,サンロッカーズ渋谷,渋谷,AWAY,LOSE,71,15:05,岡崎中央総合公園総合体育館,岡崎市,愛知県岡崎市高隆寺町字峠1番地
5,2018/10/24,水,栃木ブレックス,栃木,AWAY,WIN,77,19:05,ＣＮＡアリーナ★あきた,秋田市,秋田県秋田市八橋本町六丁目12番20号
5,2018/10/24,水,レバンガ北海道,北海道,AWAY,LOSE,78,19:05,船橋アリーナ,船橋市,千葉県船橋市習志野台７丁目５−１
5,2018/10/24,水,アルバルク東京,東京,AWAY,WIN,62,19:05,墨田区総合体育館,東京都,東京都墨田区錦糸４丁目１５−１
5,2018/10/24,水,三遠ネオフェニックス,三遠,AWAY,WIN,65,19:05,川崎市とどろきアリーナ,川崎市,神奈川県川崎市中原区等々力１−３
5,2018/10/24,水,新潟アルビレックスBB,新潟,AWAY,WIN,88,19:05,横浜国際プール,横浜市,神奈川県横浜市都筑区北山田７−３−１
5,2018/10/24,水,富山グラウジーズ,富山,AWAY,LOSE,71,19:05,ウィングアリーナ刈谷,刈谷市,愛知県刈谷市築地町荒田1
5,2018/10/24,水,名古屋ダイヤモンドドルフィンズ,名古屋,AWAY,WIN,84,19:05,ウカルちゃんアリーナ,大津市,滋賀県大津市におの浜４丁目２−１２
5,2018/10/24,水,京都ハンナリーズ,京都,AWAY,WIN,81,19:05,北九州市総合体育館,北九州市,福岡県北九州市八幡東区八王寺町４−１
5,2018/10/24,水,大阪エヴェッサ,大阪,AWAY,LOSE,48,20:05,沖縄市体育館,沖縄市,沖縄県沖縄市諸見里２丁目１−１コザ運動公園内
6,2018/10/26,金,川崎ブレイブサンダース,川崎,AWAY,LOSE,60,20:05,沖縄市体育館,沖縄市,沖縄県沖縄市諸見里２丁目１−１コザ運動公園内
6,2018/10/27,土,川崎ブレイブサンダース,川崎,AWAY,WIN,75,15:25,沖縄市体育館,沖縄市,沖縄県沖縄市諸見里２丁目１−１コザ運動公園内
6,2018/10/27,土,ライジングゼファー福岡,福岡,AWAY,LOSE,78,16:05,ドルフィンズアリーナ,名古屋市,愛知県名古屋市中区二の丸１−１
6,2018/10/27,土,横浜ビー・コルセアーズ,横浜,AWAY,WIN,84,18:05,青山学院記念館,東京都,東京都渋谷区渋谷４丁目４−２５
6,2018/10/27,土,三遠ネオフェニックス,三遠,AWAY,LOSE,54,18:05,リージョンプラザ上越,上越市,新潟県上越市下門前４４６−２
6,2018/10/27,土,秋田ノーザンハピネッツ,秋田,AWAY,LOSE,75,18:05,富山県総合体育センター,富山市,富山県富山市秋ケ島１８３
6,2018/10/27,土,アルバルク東京,東京,AWAY,WIN,77,18:05,ハンナリーズアリーナ,京都市,京都府京都市右京区西京極新明町
6,2018/10/27,土,千葉ジェッツ,千葉,AWAY,WIN,80,18:05,おおきにアリーナ舞洲,大阪市,大阪府大阪市此花区北港緑地２丁目２−１５
6,2018/10/28,日,秋田ノーザンハピネッツ,秋田,AWAY,LOSE,80,13:05,富山県総合体育センター,富山市,富山県富山市秋ケ島１８３
6,2018/10/28,日,横浜ビー・コルセアーズ,横浜,AWAY,LOSE,73,14:05,青山学院記念館,東京都,東京都渋谷区渋谷４丁目４−２５
6,2018/10/28,日,三遠ネオフェニックス,三遠,AWAY,WIN,91,14:05,リージョンプラザ上越,上越市,新潟県上越市下門前４４６−２
6,2018/10/28,日,アルバルク東京,東京,AWAY,LOSE,70,14:05,ハンナリーズアリーナ,京都市,京都府京都市右京区西京極新明町
6,2018/10/28,日,千葉ジェッツ,千葉,AWAY,WIN,77,14:05,おおきにアリーナ舞洲,大阪市,大阪府大阪市此花区北港緑地２丁目２−１５
6,2018/10/28,日,栃木ブレックス,栃木,AWAY,WIN,86,15:05,北海きたえーる,札幌市,北海道札幌市豊平区豊平５条１１丁目１−１
6,2018/10/28,日,ライジングゼファー福岡,福岡,AWAY,LOSE,88,15:05,ドルフィンズアリーナ,名古屋市,愛知県名古屋市中区二の丸１−１
6,2018/10/29,月,栃木ブレックス,栃木,AWAY,WIN,85,19:05,北海きたえーる,札幌市,北海道札幌市豊平区豊平５条１１丁目１−１
6,2018/10/29,月,シーホース三河,三河,AWAY,WIN,77,19:05,ウカルちゃんアリーナ,大津市,滋賀県大津市におの浜４丁目２−１２
6,2018/10/30,火,シーホース三河,三河,AWAY,WIN,78,19:05,ウカルちゃんアリーナ,大津市,滋賀県大津市におの浜４丁目２−１２
